순위			빈도수			단어
376			1			생태경관보전지역
377			1			관리업무
378			1			국립공원공단이
379			1			실질적으로
380			1			수행중인
381			1			업무에
382			1			명확한
383			1			위탁
384			1			마련하여
385			1			업무
386			1			효
387			1			율화
388			1			기대공포
389			1			박소영
390			1			황의정
